RIVER,COUNTRY,DISCHARG,RUNOFF,AREA,DENSITY,NO3,EXPORT,DEP,NPREC,PREC
Adige,Italy,223.00,18.30,1220.00,102.00,67.00,1224.70,1237.50,46.00,84.80
Amazon,S_America,175000.00,24.80,7050000.00,1.00,3.00,74.50,120.60,2.10,181.10
Caragh,Ireland,7.29,45.60,160.00,7.15,3.60,164.00,86.50,2.60,104.90
Columbia,USA,7900.00,11.80,670000.00,10.00,26.60,313.60,62.80,2.00,99.10
Danube,Rumania,6500.00,8.10,805000.00,90.00,46.00,371.40,826.40,45.00,57.90
Delaware,USA,336.00,19.10,17600.00,100.00,61.00,1167.20,851.70,25.00,107.40
Fraser,Canada,3550.00,16.10,220000.00,2.00,6.40,103.30,739.70,16.00,145.80
Ganges,India,16000.00,14.90,1070000.00,300.00,91.30,1361.40,294.30,5.80,160.00
Glaama,Norway,706.00,16.90,41770.00,12.00,24.00,405.70,975.00,45.00,68.30
Huanghe,China,1470.00,2.00,750000.00,200.00,139.00,272.60,286.40,28.00,32.30
Hudson,USA,560.00,16.10,34700.00,150.00,47.80,771.40,851.70,25.00,107.40
Kazan_and_Back,Canada,1900.00,6.10,312000.00,0.40,1.10,6.70,60.90,7.00,27.40
Mackenzie,Canada,10600.00,5.90,1787000.00,0.15,5.70,33.80,73.90,7.00,33.30
Magdalena,Columbia,7500.00,31.30,240000.00,30.00,17.00,531.30,87.50,2.60,106.20
Mekong,SE_Asia,15000.00,19.20,783000.00,43.00,17.00,325.70,334.10,7.60,139.20
Mersey,England,21.00,17.50,1200.00,200.00,156.00,2730.00,919.40,28.90,100.30
Meuse,Nthlnds/Belgium,317.00,9.10,34900.00,250.00,230.00,2089.10,742.30,36.00,65.00
Mississippi,USA,16100.00,5.00,3220000.00,30.00,63.00,315.00,691.70,19.00,114.80
Murray-Darling,Australia,318.20,0.30,1073000.00,1.50,15.00,4.40,74.80,4.40,53.60
Nelson,Canada,2370.00,2.20,1070000.00,2.00,5.00,11.10,248.60,21.00,37.30
Niger,W_Africa,7000.00,6.20,1125000.00,20.00,7.00,43.60,555.20,9.60,181.60
Nile,NE_Africa,950.00,0.30,2960000.00,50.00,20.00,6.40,50.90,10.20,15.70
Orange,S_Africa,170.00,0.20,1020000.00,20.00,50.00,8.30,154.90,23.00,18.10
Orinoco,Venezuela,33900.00,33.90,1000000.00,2.00,6.00,203.40,92.50,3.00,97.30
Parana,Argentina,15900.00,5.70,2800000.00,10.00,14.20,80.60,216.20,9.90,75.80
Po,Italy,1470.00,22.00,66700.00,232.00,102.00,2247.30,1237.50,46.00,84.80
Rhine,Europe,2200.00,11.90,185300.00,300.00,286.00,3395.60,1647.90,60.00,86.60
Rhone,France,1700.00,17.70,96000.00,100.00,57.20,1012.90,695.90,30.00,73.20
Shannon,Ireland,190.00,13.50,14000.00,35.00,54.00,727.70,252.80,8.60,92.70
Stikine,Canada/USA,1100.00,22.00,50000.00,1.00,6.10,134.20,76.80,1.00,242.10
St._Lawrence,Canada/USA,10700.00,10.40,1025000.00,15.00,16.00,167.00,673.20,21.00,101.10
Susquehanna,USA,1100.00,15.10,73000.00,100.00,66.00,994.50,821.50,25.00,103.60
Tees,England,50.00,27.70,1806.00,100.00,75.00,2076.50,608.70,33.00,58.20
Thames,England,78.00,7.80,9950.00,400.00,520.00,4076.40,1125.10,61.00,58.20
Tiber,Italy,230.00,13.50,17000.00,262.00,100.00,1352.90,1237.50,46.00,84.80
Uruguay,S_America,3850.00,10.50,365000.00,10.00,29.00,305.90,355.60,13.70,86.10
Vistula,Poland,1100.00,5.50,200000.00,120.00,70.50,387.80,832.80,47.00,55.90
Volga,Russia,8200.00,6.10,1350000.00,50.00,30.00,182.20,151.80,13.00,36.80
Yangtze,China,29000.00,15.40,1900000.00,200.00,58.20,897.00,370.50,10.00,116.80
Yukon,Canada,6180.00,7.40,831000.00,0.40,9.30,69.20,185.40,7.80,78.50
Zaire,Zaire,39730.00,10.40,3820000.00,11.70,6.00,62.40,467.20,10.00,147.30
Zambezi,SE_Africa,3200.00,2.50,1300000.00,15.00,9.30,22.90,138.50,8.40,51.80
